"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","0","fall","1","0",0.269222188675034,1507.19942428464,1530.67244134672,0.200009472831922,-749.599712142319,2613,0.19111492803056,0.246347525861476
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","25","fall","0","0",0.272761986265727,1409.01625702342,1432.4892740855,0.228222558992602,-700.508128511709,2613,0.216678687742049,0.277406422417699
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","25","fall","0","25",0.283605136249079,1363.0157498805,1386.48876694258,0.242870050294418,-677.50787494025,2613,0.233519146112774,0.291670596304949
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","25","fall","0","5",0.285207031909449,1364.08981129804,1387.56282836013,0.241735674583247,-678.044905649022,2613,0.230108599051612,0.289101068660629
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","25","fall","0","75",0.278044307633473,1415.91703372989,1439.39005079197,0.2288401835208,-703.958516864945,2613,0.21603485053269,0.27646083988192
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","25","fall","1","0",0.282790598065096,1432.13414183502,1455.6071588971,0.223439642336942,-712.067070917509,2613,0.214448075648434,0.273891537972313
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","5","fall","0","0",0.296552769445773,1345.28737620324,1368.76039326533,0.250960337819198,-668.643688101622,2613,0.240067659303175,0.301025770684828
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","5","fall","0","25",0.302936892043701,1305.62404315834,1329.09706022042,0.265746839787769,-648.812021579171,2613,0.254107228454732,0.317385013896384
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","5","fall","0","5",0.309214746978595,1269.15308679013,1292.62610385221,0.276384215730546,-630.576543395065,2613,0.264726714198742,0.326113503421025
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","5","fall","0","75",0.290765914649086,1350.11511399285,1373.58813105494,0.255223377490627,-671.057556996427,2613,0.245371940741519,0.304064599047221
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","5","fall","1","0",0.287177370100475,1387.66054675857,1411.13356382065,0.24398436277066,-689.830273379283,2613,0.232412162741516,0.292864976284017
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","75","fall","0","0",0.327008697573087,1276.8038740625,1300.27689112458,0.273888673889151,-634.401937031248,2613,0.262254501889137,0.319793693450342
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","75","fall","0","25",0.331397241707342,1234.7806360691,1258.25365313119,0.286485575440724,-613.390318034552,2613,0.274079388721989,0.33675847726612
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","75","fall","0","5",0.336846920554262,1180.64319038072,1204.1162074428,0.300293286301357,-586.321595190358,2613,0.289903129753167,0.34927044381943
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","75","fall","0","75",0.313034348521492,1264.38596914898,1287.85898621106,0.281537916013786,-628.192984574488,2613,0.26966750395843,0.330379708635758
"foods","multimodaldelta","alpha","0","7000000000000001","rise","0","75","fall","1","0",0.308357605381503,1283.12322640185,1306.59624346394,0.276457083971484,-637.561613200927,2613,0.264283884975452,0.326447087989625
"foods","multimodaldelta","alpha","0","7000000000000001","rise","1","0","fall","0","0",0.337914665901925,1314.51491589687,1337.98793295895,0.26054872762482,-653.257457948433,2613,0.248974626852708,0.30679015472385
"foods","multimodaldelta","alpha","0","7000000000000001","rise","1","0","fall","0","25",0.338454035071532,1283.9812144418,1307.45423150389,0.27040962648076,-637.990607220902,2613,0.257852264209904,0.317340932290736
"foods","multimodaldelta","alpha","0","7000000000000001","rise","1","0","fall","0","5",0.34400290098505,1224.14575374162,1247.6187708037,0.28654292859801,-608.07287687081,2613,0.273354840978161,0.333519153289504
"foods","multimodaldelta","alpha","0","7000000000000001","rise","1","0","fall","0","75",0.31831192820811,1285.96510151728,1309.43811857936,0.275847871948278,-638.98255075864,2613,0.263190926968662,0.323839185199298
"foods","multimodaldelta","alpha","0","7000000000000001","rise","1","0","fall","1","0",0.309917471268854,1298.97730502466,1322.45032208674,0.274856595986103,-645.488652512329,2613,0.26242089995978,0.323198871737847
"foods","multimodaldelta","alpha","0","8","rise","0","0","fall","0","0",0.266441931752667,1426.14108097825,1449.61409804033,0.223939175968681,-709.070540489125,2613,0.214544286996941,0.271264509163572
"foods","multimodaldelta","alpha","0","8","rise","0","0","fall","0","25",0.275186195648125,1399.44984104536,1422.92285810745,0.233191275413724,-695.724920522682,2613,0.223550623328063,0.28139978244373
"foods","multimodaldelta","alpha","0","8","rise","0","0","fall","0","5",0.276545825079437,1413.41689958726,1436.88991664934,0.229132439138466,-702.708449793631,2613,0.21917270453553,0.279671467223713
"foods","multimodaldelta","alpha","0","8","rise","0","0","fall","0","75",0.278518233749242,1441.88504101398,1465.35805807606,0.218847311144026,-716.942520506988,2613,0.209780838435673,0.26641921906092
"foods","multimodaldelta","alpha","0","8","rise","0","0","fall","1","0",0.276527127743392,1479.11156229226,1502.58457935434,0.208536048455505,-735.555781146128,2613,0.198327493389323,0.256266998758662
